,ytID,transcript,confidence
23,03U-6cqo7ts, little children run around in each other's PP y'all nasty  yeah oh hey didn't see you there earlier and I broke the lamp I am paying for this is part came off of it anyways you're the one people come to Chicago for a really mediocre hot dog today is day one of my Lollapalooza Chicago experience into at the Lollapalooza music festival and I am super excited to be here with MTV and be doing some stuff with the BSO it's today was really fun got the Explorer,0.9496758580207824
24,03_Tby_ICCw," Erica you think you could make your coffee another time kind of in the middle of something  thanks  how to access your secret lab put book back  well, when did you have time to do all this  as I was saying it's not just Beyonce Lady Gaga and Jay-Z there's more think about it who are some other celebrities that are rumored to be a part of the Illuminati Nicki Minaj Miley Cyrus Kardashian Kardashian Kanye West what you mean come on you learn how to read okay fine all their names have a e sound and it but what does that have to do with it",0.9397514462471008
25,0BL6BVlA6B0, the general public can understand especially young people and giving them this intersection where any any science concept can be explained in a fun and engaging way that's my job you see this park and her like what what is this moment of Wonder and awe is what I live for where they're sending science technology engineering and math all of these concerts are really just explaining with already happening in nature if we took more notes from the natural world around us we would be in a better place that means everyone and everyone needs I think science technology engineering and math can only be pushed further by including influences from people who bring A New Perspective to the table we never want to put a pair of glasses on someone and call them as I am leaving scientist comes in all shapes sizes ages races and we just want to make sure they're all represented in our programs to the extent that it's possible diversity of them is extremely important,0.9693360924720764
26,0GDYCxQYbjg, in order to move forward astronauts move around and shuttles in zero gravity when they're in outer space by pulling your handles installed on the ceiling walls and floors in the shuttle now imagine you were given the ability to float how would you move around in the middle of the street but you wouldn't get very far by swimming and air would you can I don't think so now it's suming you were granted the ability to float and the speed to move around efficiently let's discuss the height of your flight according to the ideal gas law PV nrt pressure and temperature has a positive correlation meeting they increase and decrease together this is because the air expands in volume with less pressure so the molecules have more room to wander around without colliding into each other and creating heat since the atmospheric pressure is a lot lower in high altitudes it would be freezing cold if you are flying above the clouds you need to wrap yourself up to keep your core body temperature above,0.971182346343994
27,0L9V6FJJlEA, all animals is hard and boring and it would take a really long time so instead scientists often measure something called biomass basically how much living Mass there is in some group of species we measure biomass in Giga tonnes of carbon this is helpful when you want to compare species of different sizes for example 3100 mice have the same biomass as one human or 15312 back whales have the same biomass as your mom  real mature guys scientist recently found our planet host a total of 550 Giga tonnes of living carbon so how is all that stack up let's start with animals of all animals mammals and birds only make up eight and a half percent and among that 60% is a livestock mostly cattle and pigs humans were more than a third of all birds and mammals but we're only 3% of the animal Talley arthropods the insects spiders,0.963379442691803
28,0MMS2NtDCHY, and we also got a mashem fashem  it's our friend from the yellow gumballs do you remember his name  if you do let me know by putting your answer in the comments down below what was the name of this pup here she's a little construction worker yellow sky  is done and red in the next color is purple there's not a purple pup so I wonder who will find behind the store  hi California,0.7326903343200684
29,0N5235Xv5ig, that's why I have over a hundred different moves but I just use one at a time like the couch in the eyeball gouging your whole set garage in the throat neck dead obviously this is a galaxy galaxy trap range of ideas Liverpool's I would like to introduce you to a world-renowned fighter world-renowned hypnotist show what you got on see that now you didn't she stole the shoes this kid is dead in the water  ads has a different approach to fighting than I do,0.8658565282821655
30,0X6gO3nDtco, I don't even know now we can engage in the entire night of rigorous and passionate love making  you still want to write  I'm just going to turn off this light and we're going to  how many mileage how much do I get cigarettes  oh my husband Michael Dooley  for my husband Michael Pollan  Sarah okay,0.6551926136016846
31,0cuO5OSDMbw, half an inch today Dutchman are the tallest people in the world with an average height of just over 6 feet back to wear those gravettian started 8 Millennia ago and almost as tall as me these fluctuations of height sometimes within a single generation show that our environment determines a big part of how tall we are but people in different regions and different families show us that height has genetic causes to so which has a bigger role nature or nurture in the early 19th century scientists first noticed a correlation between people's Heights and there was people from poor backgrounds tend to be shorter than people who are more well-off instead of asking whether someone's upbringing might influence their height many stars at the time decided Thomas was a physical marks. Humans Francis Galton who would later become infamous for popularizing eugenics was the first scientist to conduct a large-scale systematic study of height he precisely measure the height,0.9736331105232242
32,0hhfYCcFI3o, if you be honest and fair your honesty she'll admit no disc what if you be honest and fair you honestly should know this go to your beauty  my beautiful Ophelia  menorah  you got some time for me Hamlet come on now  could do Demon Lord have better come and stand with honesty my beauty my Lord have better Commerce than with honesty  Beauty my Lord have better Commerce than with honesty I'm going to go ahead and take her theme from psycho Lord's Chips  can I just take this home and read it it's better to have fun and lose then take life too seriously that picture just fell off my bed,0.944644331932068
33,0howxxdiAQ0, so hit that subscribe button if you want to follow me and actors actresses whoever's in my video on Instagram will be down below so be sure to do that let's get started  this is why you're single  he might just be single because you don't douche literally like you don't do shit  if your girl can't wash the dishes and your man can't simply just work out I guess you just going to be single,0.9198947548866272
34,0hti9SV6DMg, who is going to be like obstructive and not helpful so I mean you know people are people even if they have a different Alliance there are still people who won the games on you can be a complete asshole about to lose a member of our try. But you know anybody who's going to play to win that's the person I wanted my team to win come on let's win this win and then you're like you know what let's go with the ride can you got to let go of the resistance because I wouldn't have a perm I just going to give in and have a good time on me to want to help anything now people are people so you know if they if you're going to win anybody,0.9268839955329896
35,0jF9xyF8mxQ, fly what if I could live forever what if I could be invisible with effective as a tank for ages people have craved for answers to these questions and one unbelievably gratifying way that we have used to express our fantasies is through the invention of superheroes and their superpowers  these days summer doesn't go by without the comic book hero transforming into a giant to defend the girl next door or flying across the screen to protect the human race from unspeakable evil while the audience is Hearts pump with excitement some people have found another path to make their dreams the last beyond the movie going experience through science  the first comic book appeared in 1933 flying was a luxury nowadays flying is the safest way to travel the world's life expectancy has increased by 15 years since 1960 due to biology and chemistry advancements there's been tremendous progress in stealth technology trying to make real life invisible clothes,0.9465087652206421
36,0jLUi7Hyo7I, what's wrong with them she said he doesn't like the sauce on the Okie it's also coming back just as quickly  the solids German and Luigi is not taking the returns very well when was the weather was amazing looking for 30 years that's the way it is  Luigi back in the kitchen it's kind of scary cuz we never know if he's going to snap in your ass or something  what about over there  what do I got to do  what about nothing happened  make a Note 3  Let It Go,0.7920109033584595
37,0lVbeSAHImw, missing people tweet about an all day so I'm going to video call Miranda Sings reacting to stylize  I love you sweetie I'm Sings Miranda sings I Love Her  give me 2014 for today I'm going,0.7059796452522278
38,0sz85tJ_tlc, hi everybody M&K has a new channel launching is called  EJ Doodles on the cartoon animated adventures ever and King my little sister  sometimes they get into trouble sometimes they fight even makes a huge mess friend  and see how Emma and Casey and around with the world around them with the helper  showtimes big brother Ryan that's me helps Emma click the link below to check out the new animated show  please,0.8990131616592407
39,0zZ9QczEPdE, who can help me recreate the music videos  Subway Subway  she's amazing you don't say that mean what was the French,0.8192541003227234
40,0zx_lakXJ1Q, pretty yeah I know  please turn off all cell phones and enjoy this feature presentation  School  sorry I didn't want to interrupt  this is my seat not assigned seats so predator  yeah no problem,0.9197874069213868
41,13tBGvYlY3k, he does look a little bit like a feline but believe it or not he's actually closely related to the Mongoose and the Senate they're not part of the feline family at all now if you want to see this guy in awhile you would have to take a very long plane ride all the way to Madagascar at the only place you can find them they love be up in the Trees of the Madagascar forest and I love to snack on lemurs lemurs are some of their favorite food they are carnivores they have very sharp teeth and very sharp claws of a sharp claws help them get up into the trees and jump around and that long long tail helps them keep their balance almost like a tightrope Walkers pole helps them take keep their balance now they are endangered that means there's not very many of them left their numbers are declining primary did a habitat loss. People are cutting down the forest of Madagascar which is taking away these guys home so if you want to help fossas now while you can be sure not to buy any wood that's harvested,0.9552093744277954
42,1A-NmIbdQJY," and their clothes are super bomb y'all know that I'm all about like that cheap stuff because not that like I'm a cheap person is just like if you can get a ton of things for you don't like a reasonable amount of money in it it's like I was actually just on Instagram and Snapchat and Twitter though if you care to see my face on other social platforms be sure to follow me so we can get this video to 6,000 thumbs up I'm upload a bathing suit try on collection type of video so be sure to thumbs up and share this with a friend and without further Ado let's just get right into the video top and jean skirt and I like how the jean skirt is like super raped in distress and stuff like that but I think like even this whole outfit is just like a perfect you know kind of beach Vibe next you know speaking of the beach I got a red Bay",0.968232274055481
43,1CBULIcf9MU, what is an apple tree May  nobody really knows how many people have the condition but ask mr. Jess one in 20 people living with it and it's seven times more likely to affect women the men Lewis run the movement class to suffer so we've come to say if it could help us I was struck with fibromyalgia at the young age 18 to the world is my oyster I was trying to be adults I was playing football for Arsenal ladies everything was amazing and then suddenly my body just broke we might look fine but people would fibroid can often find even basic movement painful and exhausting  that was a long journey from being down to that I was to where I am today and it was really important to me to support other people with fibromyalgia 3 movement because when you're in so much pain and have so much to say you're scared to move and I need that was benefits to it and it would help so I said about designing the class around my own dogs experience,0.9448431134223938
44,1DvD0AB37ZA, by your filming she has another great story hi I'm using remember but I have too much YouTube back in 2010 at the Teen Choice Awards  to get to people online and Jenna film because I can't have my phone out in line for people that are waiting for the phone so I'm hiding the phone we're going to go back and  when we were camping out the getting food was like the best part of the day and these people are hungry they need a snack  I just want to go get the shot in the shot I already took one but you smell so nice like walking in my in my face those pizzas smells really good. I should have pizza we should have a nice healthy salmon salad this is what I want  no,0.5302567481994629
45,1NjY96c-H6M, two guys so I finished my hair or my hair like this sometimes but I do need to get it re-cut cuz I used to look more like a bob now I'm just going to apply some extensions to hair,0.91716206073761
46,1RCk7eFRYkM, some of these dates with would take their sweet potatoes the raw sweet potatoes that were given and hang on to him until he saw that oven until you and Tammy could get access to the oven and then cook them it's pretty great it really is and they also I think it said we'll switch it up here maybe there's a condition with his potato and I gave them carrots and they did the same thing they're like a head but they since it tastes pretty good if you cook them up carrots as well until they could I think I would have bruises that they want to cook everybody wants to cut they want to know how to make that thing soft and steamy and delicious and they're just mean I'm shaking that thing why can't they just teach it to push the button pretty easy to microbes are super easy yeah I thought it was anyone got this from metal faucet article dental floss and basically how it they tied it up at the end basically saying like yeah you know how we think we're like so much greater than everything else Center  yet another thing that's taking down a peg sure cooking,0.9050037860870358
47,1U0N4SGL46A, NF is full-blooded amerindian only make up about 2% of population about 9% of the population identify as Misty so or mix between amerindian and European a recent study by Daniel Court theorize that over half the entire population of Argentina probably has at least one ancestor that was amerindian used to have a surprisingly large black population especially during the colonial days and at one point during Spanish colonization blacks actually made of 1/3 of the entire population however after Independence the population of blacks sharply declined due to a number of factors such as epidemics anti-african legislation in the early years and many of them emigrated to more African friendly Nations like Paraguay and Brazil music and arguably the Inception of the Tango when it comes to culture Argentina has a very defined and nationalistic approach to how they operate and view in life,0.9534281492233276
48,1XZ-NpqTNuQ, does power girl have been just feed at the numbers kid number 8 animal man you think that a superhero who can channel the powers of animals wouldn't be the most interesting character out there and for the most part you'd be right this DC Underdog got really interesting really fast when his first solo series and Byrider Grant Morrison came out in the 1980s under Morrison the character was not only used to comment on animal rights issues but also taken on the head spinning existential Journey that ended up with him face-to-face with his own writer after becoming aware of his own fictional nature and when he's not neck deep and complex meta commentary the character is also a devoted husband and father number seven the Spector Spector what's your mistake and all of this that depends on you perhaps one of the most powerful heroes in a DC pathian this green coat antihero is the literal embodiment of the wrath of God the angel of Vengeance charged with punishing the guilty so naturally he's no pushover over the years the character has taken a number of human host through which to carry out his mission,0.9788939356803894
49,1aKcKov3H-c, 1959 Splash number 106 which was invented Amanti 1989 secret Origins number 40 and 2009 this is something that has to be done in front of the whole world do your part and I'll let you bring down the final curtain rod has been a major Minister The Flash as well as many other heroes in the DC Universe began when a strange craft landed outside of Central City Home on some sort of secret plan this could be the greatest discovery in the history of mankind I've seen time from a friend of his who was having troubles his friend Fred Pearson was a performer famous for an app where you dress up like a gorilla gorilla running wild with the street,0.8818771839141846
50,1b87rwtXGzA, these lovely orange black and white creatures do absolutely incredible things found in North Central and South America and a few other places in the world from monarch butterflies starts Life by being born on a milkweed Leaf a quickie fat not to become colorful caterpillars and it's not long till they stop incredible transformation from Pupa into something's really bother magical Vin Commander schmetterling ready for takeoff in only a matter of hours the Monarch is ready to fly from baby at the butterfly in just around a month it's one of the most startling transformations of the whole Animal Kingdom the monarch butterfly can travel thousands of miles and when the wind is even to Great Britain a solo only the butterflies grandchildren get to make it home sometimes resting in the same tree as that grandparents before them,0.9617152810096741
51,1k7Y-1-w4FA, stores in the dining room continue to eat subpar food Chef Ramsay's Kitchen investigation intensifies what's that one the chicken enchiladas  oh my God what's that that was  ground beef  looking for. You idiot  spots on you  I felt satisfied that finally somebody called him out on his bullshit  it's like a cement mixer are you fucking stupid who's controlling this  you  are walking disaster now I'm feeling stupid  fridge is full of shit,0.8301405906677246
52,1lViKrWgTYk, Erica they're about the size of a large cat related to bears and you can't bet it when I steal your food because it's time to leave  raccoons are incredibly agile  most of the time they have amazing pools that have highly sensitive touch receptors opportunistic omnivores raccoons communicate by marking their territory with that poop on the roof but the main aim is to stuff yourself silly,0.9003847241401672
53,1nEU4SiLN7o," you cook salmon on stove top flip them and as of chocolate isn't enough for this guy he finish them with maple syrup and whipped cream this would certainly make the perfect cheat Day meal pancakes  this is a really good this is that this is the shit this is my damn chocolate chips are like super ugly on the inside the Joe is perfect not to a game these are the Rock's pancakes I smell what The Rock is cooking  my favorite celebrity pancake recipes The Rock and honestly it's because his has chocolate chips that's it I would say my favorite of the celebrity pancake recipes was Ina Garten's had a really great taste with the bananas and also the van is in the pancakes themselves provided a nice change in texture I mean I don't know how this fluffy Monsters made this beautiful, Nate",0.9582406878471376
54,1nFcXcPldzY, she left from his horse and rode it away with his superhuman strength  the crowds cheers soon turned into shrieks in place of the youth was an old man whose beard swept the ground on his legs buckled under him he cried out for fin on the fina with the people only recognize these names from the distant past of 300 years before time had to trade or Sheen and his return to Mortal Lawns at age to marry reversibly  shurett Irish folklore sightings of the land of you'd have been reported in the debts of Wells on the brink of the horizon or in the game of caves but those who know the tale of us title of another vision of a shining princess on the distant Waves by a white horse still hoping for the return of her doomed love  if you enjoyed this lesson,0.955633819103241
55,1uBrQ8qPzrw, you something crazy things like my kid is my best friend and to you and your hormone that they are you don't get mad at me okay just let we're still friends as soon as you pre-order my book fair kids so just stay right there  on you the squirrels the minion minion minion  meme animal  what you mean when I say that your best friend should not have come out of your vagina okay,0.9234681129455566
56,1xmgZCJuO98, set and put it in whatever box thing you feel like doing okay okay when you're in there you won't be feeling what you're doing just your face and nobody will know whether you donate or keep it nobody watching all right do I need to put it in the envelope either way yes please  after they made the decision they took the second part of the happiness test now,0.9149451851844788
57,1xxsgnEvEfE, liquefied helium down to 1.5 L V6 teen scientist use lasers to squeeze atoms reaching a low temperature of 360 million of a Kelvin that's almost imperceptibly about absolute zero and even lower than physicists once thought was possible that these super low temperatures merging on absolute zero traditional physics gets a little freak  we typically think of atoms is dispersed like in a cloud acting like individual particles it would matter gets very cold close to absolute zero those Adams begin to behave together or like a single way this creates what's known as a Bose-Einstein condensate Mega atom with all the atoms acting as one what's also freaky freaky physics  liquid helium cooled below a certain point becomes what's called a superfluid a fluid that can flow with absolutely,0.9198431968688964
58,1yv_MXNYbAo, but did Ani really live such a perfect life not quite but that's where the Hearts care of amulet comes in its inscribed with the words do not stand as a witness against me precisely soames heart doesn't betray him by recalling the time he listened to his neighbor's fight or washed his feet in the Nile  now it's on his Moment of Truth the weighing of the heart if his heart is heavier than the feather weighed down by Anis wrongdoings it'll be devoured by The Munsters um it part crocodile part leopard part hippopotamus and Ani will cease to exist forever  but Auntie is in lock his heart is judged pure Rob the sun god takes him to Osiris god of the underworld who gives him final approval to enter the afterlife  in the endless and Lush field of reeds on a meets his deceased parents hear their,0.90483158826828
59,22yMkOpPAw8," number so I can cooler at day one  all right now I'm going to shoot it already looks creepy why do we see Granny's number anyway I see is Granny's number hair anyway Freddy's number head maybe in the garage right now I'm not in the boss maybe if we open the door  okay we fired from the door so now I'm just checking this cupboard hopefully it's in the cupboard actually that's good win for now  all right. So actually in a couple. I don't think it is here but then she's coming soon guys about trying like shot discovered why isn't it working I'm going to die  how old are the skies is creeping me out all right, I can see numbers or number anyway not shiny thing",0.7776236534118652
60,26BfSBgiBDw, can you do that school  right onto your mom asked him for a really personal favor can you do me a really personal favor and call your mom and tell her that I have herpes. She does that is really that really says mom voicemail,0.9014401435852052
61,2D7hZpIYlCA, fear causes global climate change because CO2 in the atmosphere prevent some of the sun's energy from RI radiating back out into space Oh yeah around his coughing all kinds of problems that we can see already and it's very likely going to keep causing bigger and bigger problems with time could be helped a lot if we would just stop unlocking all that carbon and spitting in the atmosphere but if you don't even have control of the situation anymore because of ice memorize of the carbon is often trapped in ice well and places like Siberia in Northern Canada and Alaska have plans they contain huge Reserve that are trapped in permafrost ground that's frozen year-round these places are basically Frozen Wetlands that add another layer of dead plant matter each year huge amount of carbon dioxide and methane are released into the atmosphere creating a positive feedback loop are carbon burning Lifestyles unleashing this other huge carbon Reservoir which keep the whole greenhouse effect going with or without us,0.9713494777679444
62,2GfKZlTRNjA, you know they used to squeeze water through their gills these body parts are just a few scattered pages in a larger story about our Evolution but there's other fossils hidden inside our bodies telling even clear tail about how we came to be the way we are  what are the stories is so simple I can be told with a single picture these are images of chromosomes the big chunks of DNA inside every one of ourselves when we look at images of human chromosomes next to those of other Apes they line up nearly identical e except for human chromosome to seems to have no match next to the other eight chromosomes even weirder humans have 46 chromosomes and total 23 pairs those other Apes they have 48 chromosomes 24 pairs what could explain this if we're supposed to be related why are we missing chromosome turns out we aren't missing a chromosome,0.9544093012809752
63,2LzI6sSy8ds, different person in 1942 is Wonder Woman's number one and two which was expanded upon in 1986 and 87 Wonder Woman number 1 to 6 Edge 2012 Wonder Woman's number 0 looks like we'll have that dance after all the character of Aries off known by his Roman name Mars was directly taken from Greco-Roman mythology Hades the God of War soap as the powers of a god which makes him difficult to fight and damn near impossible to destroy video will focus on how he became part of Wonder Woman's Rogues Gallery when Aries first popped up in 1942 Raiders learned that he and Aphrodite had long been in. Over whether the war like they drove men or the lot of nature of women what's stronger with the Advent of World War II Aries seem to be winning and sell Wonder Woman was sent to a man's world to teach Aphrodite's message of Love Steve Trevor Wonder Woman,0.9746074080467224
